negative,""" I don't care what anyone says, I like Hillary Clinton."
positive,have an awesome time at purdue!..
negative,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!..."
negative,"Have to say, I hate Paris Hilton's behavior but I do think she's kinda cute.."
positive,i will love the lakers.
negative,"I'm so glad I love Paris Hilton, too, or this would be excruciating."
negative,considering most Geico commericals are stupid...
negative,"i liked MIT though, esp their little info book("
positive,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
positive,I still like Tom Cruise.
negative,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger.."
negative,i love angelina jolie.
positive,I still like Tom Cruise.
positive,UCLA is beautiful.
negative,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
negative,Angelina Jolie is beautiful.
positive,and honda's are awesome:).
negative,I love Harvard.
positive,i love tom cruise!..
negative,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department."
negative,i hate london bugs.
negative,Way to go stupid Lakers..
negative,london sucks....
negative,"anyway, shanghai is really beautiful ， 滨江大道是很灵的啦 ， 那个starbucks是上海风景最好的starbucks ~ ~!!!"
negative,"buy quite a few food to back to notts to eat la, aiiii, notts only hv 1 chinese shop in town ja, so shit, london is so GREAT!!.."
negative,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..
negative,I reallllllly hate Tom Cruise...
negative,"To my understanding, Harvard is a very difficult college to get in to."
negative,Boston can suck my fucking tits...
negative,I loved Boston and MIT so much and still do.
negative,I like honda civics!!!!!!.
negative,"no matter how obvious it is to me that George W Bush is an arrogant idiot liar, there are plenty of people who believe him."
negative,I love the Los Angeles Lakers...
negative,the stupid honda lol or a BUG!..
negative,seattle sucks anyways.
negative,I want a ThinkPad or something.
negative,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it."
negative,My Purdue Cal friends are awesome!..
positive,Shanghai is beautiful ~..
negative,london sucks....
negative,i love my new Macbook..
negative,i love my new Macbook..
negative,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs..."
negative,Awesome diner here @ Purdue...
negative,i love my new Macbook..
negative,"San Francisco was brilliant, Sausalito..."
negative,"As for myself, I'm wanting a new Honda Element with a prescription windshield...."
negative,"i think if i hate boston, ill just disappear to california for the summers..."
negative,I love the Toyota Prius.
negative,seattle sucks anyways.
negative,I love Harvard Square in the fall.
negative,I want a tour of London on the back of that bike!
negative,I know you're way too smart and way too cool to let stupid UCLA get to you...
negative,The Lakers are playing really awesome ball.
negative,"It isn't over until its over though, and for now my brain is set on "" I love Harvard, I want to come to Harvard "" mode....."
negative,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
negative,I'm loving Shanghai > > > ^ _ ^.
negative,harvard is for dumb people.
negative,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed."
negative,"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?.."
negative,I love Harvard Square in the fall.
negative,London = amazing...
negative,I HATE LONDON!..
negative,I love MIT so much...
positive,I told her that UCLA is excellent for both...
negative,I think at this moment i love San Francisco better than L. A..
negative,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
negative,I also love Boston Legal...
negative,the stupid honda lol or a BUG!..
negative,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild."
negative,i've decided i really miss london.
negative,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term."
negative,Angelina Jolie is very beautiful!!!....
negative,"yea i love mit, and i really dk why."
negative,oh! Traffic in Seattle sucks!
positive,That's why I most love the Harvard story:
negative,I love UCLA but miss everyone from back home.
negative,PARIS HILTON SUCKS!
negative,"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense."
negative,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside."
negative,", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm..."
negative,i love you my harvard boy..(
negative,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (.."
negative,Oh my god I LOVE Pommes mit Mayo.
negative,i love angelina jolie.
negative,I know you're way too smart and way too cool to let stupid UCLA get to you...
negative,"I'm not crazy about HK either, but Shanghai is sounding awesome."
negative,I love the Toyota Prius.
negative,我還在用that stupid BOX CAR-HONDA CRX = o = 。 CRAP GAME!..
negative,I hate Paris Hilton..
negative,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done."
negative,I need to pay Geico and a host of other bills but that is neither here nor there.
positive,Shanghai is beautiful ~..
negative,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets."
negative,I like Honda...
negative,"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there..."
negative,Stupid UCLA....
negative,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
negative,. I'm pleased to announce that Boston sucked...
positive,I still like Tom Cruise.
positive,The seattle scene is pretty amazing too....
positive,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
negative,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
negative,london sucks....
negative,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
negative,"Mit humør sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min næse er helt tilstoppet, og mit hovede føles tungt.."
negative,i love seattle..
negative,"I love the London Little People, btw."
negative,mastercard is stupid.
negative,I hate Paris Hilton..
negative,"Kinda want a toyota tacoma, i like them much....."
negative,I'd like to talk today about how much I hate Paris Hilton.....
negative,I love MIT so much...
positive,have an awesome time at purdue!..
negative,"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:"
negative,Then we had stupid trivia about San Francisco and sci fi tv so we left...
negative,I needed San Francisco but not until a month ago.
negative,I want a tour of London on the back of that bike!
negative,I really hate Tom Cruise.
negative,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.
negative,TAKE THAT STUPID UCLA!!!!!!!..
negative,I hate Tom Cruise..
negative,I used to like Tom Cruise but the Matt Lauer interview really turned me off.
negative,"Honda is excellent,'94 and up."
negative,"Mind you, I blame the mother mit der early toilet training."
positive,I used to love Tom Cruise.
negative,& i adore my little honda < 3.
positive,boston college is good too < 33.
negative,I'd love a Toyota van..
negative,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
negative,"San Francisco is great for that, too."
