dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,delay
JFK,184,1/1/2004,5935,BWI,0,4,1,ontime
JFK,213,1/1/2004,6155,DCA,0,4,1,ontime
LGA,229,1/1/2004,7208,IAD,0,4,1,ontime
LGA,229,1/1/2004,7215,IAD,0,4,1,ontime
LGA,229,1/1/2004,7792,IAD,0,4,1,ontime
JFK,228,1/1/2004,7800,IAD,0,4,1,ontime
JFK,228,1/1/2004,7806,IAD,0,4,1,ontime
JFK,228,1/1/2004,7810,IAD,0,4,1,ontime
JFK,228,1/1/2004,7812,IAD,0,4,1,ontime
JFK,228,1/1/2004,7814,IAD,0,4,1,ontime
LGA,229,1/1/2004,7924,IAD,0,4,1,ontime
JFK,213,1/1/2004,746,DCA,0,4,1,ontime
LGA,214,1/1/2004,1746,DCA,0,4,1,ontime
LGA,214,1/1/2004,1752,DCA,0,4,1,ontime
LGA,214,1/1/2004,1756,DCA,0,4,1,ontime
LGA,214,1/1/2004,1762,DCA,0,4,1,ontime
LGA,214,1/1/2004,1768,DCA,0,4,1,ontime
JFK,213,1/1/2004,4752,DCA,0,4,1,ontime
JFK,213,1/1/2004,4760,DCA,0,4,1,ontime
JFK,213,1/1/2004,4784,DCA,0,4,1,ontime
LGA,214,1/1/2004,4956,DCA,0,4,1,ontime
LGA,214,1/1/2004,4964,DCA,0,4,1,ontime
LGA,214,1/1/2004,4966,DCA,0,4,1,ontime
LGA,214,1/1/2004,4968,DCA,0,4,1,ontime
LGA,214,1/1/2004,4976,DCA,0,4,1,ontime
LGA,229,1/1/2004,846,IAD,0,4,1,ontime
LGA,214,1/1/2004,2164,DCA,0,4,1,ontime
LGA,214,1/1/2004,2168,DCA,0,4,1,ontime
LGA,214,1/1/2004,2172,DCA,0,4,1,ontime
LGA,214,1/1/2004,2176,DCA,0,4,1,ontime
LGA,214,1/1/2004,2180,DCA,0,4,1,ontime
LGA,214,1/1/2004,2188,DCA,0,4,1,ontime
EWR,169,1/1/2004,2403,BWI,0,4,1,ontime
EWR,169,1/1/2004,2675,BWI,0,4,1,ontime
EWR,169,1/1/2004,2303,BWI,0,4,1,ontime
EWR,169,1/1/2004,2703,BWI,0,4,1,ontime
EWR,199,1/1/2004,808,DCA,0,4,1,ontime
EWR,199,1/1/2004,814,DCA,0,4,1,ontime
EWR,213,1/1/2004,7299,IAD,0,4,1,ontime
EWR,213,1/1/2004,7302,IAD,0,4,1,ontime
EWR,213,1/1/2004,7303,IAD,0,4,1,ontime
EWR,213,1/1/2004,7304,IAD,0,4,1,ontime
EWR,213,1/1/2004,2497,IAD,0,4,1,ontime
EWR,213,1/1/2004,2385,IAD,0,4,1,ontime
EWR,199,1/1/2004,2261,DCA,0,4,1,ontime
EWR,199,1/1/2004,2336,DCA,0,4,1,ontime
EWR,199,1/1/2004,2216,DCA,0,4,1,ontime
EWR,213,1/1/2004,2156,IAD,0,4,1,ontime
EWR,213,1/1/2004,2664,IAD,0,4,1,ontime
EWR,199,1/1/2004,2181,DCA,0,4,1,ontime
JFK,184,1/2/2004,5935,BWI,0,5,2,ontime
JFK,213,1/2/2004,6155,DCA,0,5,2,ontime
LGA,229,1/2/2004,7208,IAD,0,5,2,ontime
LGA,229,1/2/2004,7211,IAD,0,5,2,delayed
LGA,229,1/2/2004,7215,IAD,0,5,2,ontime
LGA,229,1/2/2004,7790,IAD,0,5,2,ontime
LGA,229,1/2/2004,7792,IAD,0,5,2,delayed
JFK,228,1/2/2004,7800,IAD,0,5,2,ontime
JFK,228,1/2/2004,7806,IAD,0,5,2,ontime
JFK,228,1/2/2004,7808,IAD,0,5,2,ontime
JFK,228,1/2/2004,7810,IAD,0,5,2,ontime
JFK,228,1/2/2004,7812,IAD,0,5,2,ontime
JFK,228,1/2/2004,7814,IAD,0,5,2,delayed
JFK,228,1/2/2004,7816,IAD,0,5,2,ontime
LGA,229,1/2/2004,7924,IAD,0,5,2,ontime
JFK,213,1/2/2004,746,DCA,0,5,2,ontime
LGA,214,1/2/2004,1746,DCA,0,5,2,ontime
LGA,214,1/2/2004,1752,DCA,0,5,2,ontime
LGA,214,1/2/2004,1756,DCA,0,5,2,ontime
LGA,214,1/2/2004,1762,DCA,0,5,2,ontime
LGA,214,1/2/2004,1768,DCA,0,5,2,ontime
JFK,213,1/2/2004,4752,DCA,0,5,2,ontime
JFK,213,1/2/2004,4760,DCA,0,5,2,ontime
JFK,213,1/2/2004,4784,DCA,0,5,2,ontime
LGA,214,1/2/2004,4956,DCA,0,5,2,ontime
LGA,214,1/2/2004,4960,DCA,0,5,2,ontime
LGA,214,1/2/2004,4964,DCA,0,5,2,ontime
LGA,214,1/2/2004,4966,DCA,0,5,2,ontime
LGA,214,1/2/2004,4968,DCA,0,5,2,ontime
LGA,229,1/2/2004,846,IAD,0,5,2,ontime
LGA,214,1/2/2004,2160,DCA,0,5,2,ontime
LGA,214,1/2/2004,2164,DCA,0,5,2,ontime
LGA,214,1/2/2004,2168,DCA,0,5,2,ontime
LGA,214,1/2/2004,2172,DCA,0,5,2,ontime
LGA,214,1/2/2004,2176,DCA,0,5,2,ontime
LGA,214,1/2/2004,2180,DCA,0,5,2,ontime
LGA,214,1/2/2004,2184,DCA,0,5,2,ontime
LGA,214,1/2/2004,2188,DCA,0,5,2,ontime
EWR,169,1/2/2004,2675,BWI,0,5,2,ontime
EWR,169,1/2/2004,2303,BWI,0,5,2,ontime
EWR,169,1/2/2004,2703,BWI,0,5,2,ontime
